kind,game,roots,window_roots,avg_abs_error,avg_sq_error,total_avg_abs_error,total_avg_sq_error,last_abs_error,validation_samples,validation_avg_abs_error,validation_avg_sq_error,validation_last_abs_error,elapsed_ms,roots_per_sec
progress,69,8908,100,0.051989,0.004017,0.389272,0.272682,0.000096,10,0.403255,0.238363,0.020263,953208,9.3
progress,69,8918,10,0.000101,0.000000,0.388835,0.272377,0.000104,10,0.403255,0.238363,0.020263,954310,9.3
progress,70,9018,100,0.118100,0.044167,0.385833,0.269846,0.731104,10,0.403255,0.238363,0.020263,965340,9.3
progress,70,9070,52,0.465071,0.416765,0.386288,0.270688,0.000112,10,0.403255,0.238363,0.020263,971048,9.3
progress,71,9154,84,0.061270,0.008034,0.383305,0.268278,0.000213,10,0.403255,0.238363,0.020263,980381,9.3
progress,72,9254,100,0.172811,0.038267,0.381030,0.265793,0.209654,10,0.403255,0.238363,0.020263,991414,9.3
progress,72,9269,15,0.172467,0.037181,0.380693,0.265423,0.000320,10,0.403255,0.238363,0.020263,993067,9.3
progress,73,9369,100,0.633436,0.435030,0.383391,0.267233,0.910058,10,0.403255,0.238363,0.020263,1004102,9.3
progress,73,9405,36,0.970682,0.943601,0.385639,0.269822,1.000041,10,0.403255,0.238363,0.020263,1008049,9.3
progress,74,9503,98,0.808725,0.738524,0.390002,0.274655,1.000363,10,0.403255,0.238363,0.020263,1018849,9.3
progress,75,9603,100,0.143596,0.041316,0.387436,0.272226,0.111727,10,0.403255,0.238363,0.020263,1029884,9.3
progress,75,9669,66,0.020903,0.004274,0.384934,0.270397,0.000100,10,0.403255,0.238363,0.020263,1037134,9.3
progress,76,9769,100,0.711509,0.566878,0.388277,0.273431,1.000593,10,0.403255,0.238363,0.020263,1048177,9.3
progress,76,9770,1,1.000614,1.001228,0.388339,0.273506,1.000614,10,0.403255,0.238363,0.020263,1048284,9.3
progress,77,9870,100,0.249154,0.094562,0.386929,0.271693,0.546961,10,0.403255,0.238363,0.020263,1059325,9.3
progress,77,9938,68,0.856402,0.759889,0.390142,0.275033,1.000615,10,0.403255,0.238363,0.020263,1066784,9.3
progress,78,10017,79,0.097216,0.014938,0.387831,0.272982,0.000330,10,0.403255,0.238363,0.020263,1075508,9.3
progress,79,10117,100,0.607538,0.426355,0.390003,0.274498,0.978641,10,0.403255,0.238363,0.020263,1086543,9.3
progress,79,10144,27,0.993346,0.986802,0.391609,0.276394,1.000313,10,0.403255,0.238363,0.020263,1089510,9.3
progress,80,10244,100,0.388361,0.178415,0.391577,0.275438,0.540286,10,0.403255,0.238363,0.020263,1100615,9.3
progress,80,10339,95,0.523360,0.276825,0.392788,0.275450,0.000312,10,0.403255,0.238363,0.020263,1111083,9.3
progress,81,10439,100,0.715324,0.540801,0.395878,0.277992,0.998118,10,0.403255,0.238363,0.020263,1122138,9.3
progress,81,10451,12,0.999224,0.998450,0.396571,0.278820,1.000309,10,0.403255,0.238363,0.020263,1123449,9.3
progress,82,10529,78,0.453622,0.320067,0.396993,0.279125,1.000581,10,0.403255,0.238363,0.020263,1132059,9.3
progress,83,10598,69,0.087669,0.013213,0.394979,0.277394,0.000309,10,0.403255,0.238363,0.020263,1139684,9.3
progress,84,10698,100,0.309720,0.112531,0.394182,0.275853,0.399627,10,0.403255,0.238363,0.020263,1150705,9.3
progress,84,10760,62,0.436322,0.415442,0.394425,0.276657,1.000292,10,0.403255,0.238363,0.020263,1157503,9.3
progress,85,10860,100,0.290859,0.122002,0.393472,0.275233,0.353663,10,0.403255,0.238363,0.020263,1168546,9.3
progress,85,10954,94,0.343343,0.118328,0.393041,0.273887,0.288683,10,0.403255,0.238363,0.020263,1178905,9.3
progress,86,11054,100,0.618233,0.451173,0.395079,0.275490,1.000539,10,0.403255,0.238363,0.020263,1189938,9.3
progress,86,11075,21,0.999999,0.999998,0.396226,0.276864,1.000390,10,0.403255,0.238363,0.020263,1192233,9.3
progress,87,11175,100,0.903589,0.822169,0.400766,0.281744,0.999211,10,0.403255,0.238363,0.020263,1203271,9.3
progress,87,11189,14,0.999918,0.999836,0.401515,0.282642,1.000041,10,0.403255,0.238363,0.020263,1204803,9.3
progress,88,11280,91,0.382320,0.277988,0.401361,0.282605,1.000056,10,0.403255,0.238363,0.020263,1214828,9.3
progress,89,11380,100,0.336832,0.171473,0.400794,0.281628,0.533118,10,0.403255,0.238363,0.020263,1225871,9.3
progress,89,11457,77,0.155012,0.062714,0.399142,0.280157,0.000096,10,0.403255,0.238363,0.020263,1234337,9.3
progress,90,11557,100,0.452912,0.247348,0.399607,0.279873,0.813756,10,0.403255,0.238363,0.020263,1245381,9.3
progress,90,11597,40,0.928902,0.888934,0.401433,0.281974,0.000790,10,0.403255,0.238363,0.020263,1249764,9.3
progress,91,11697,100,0.234249,0.074292,0.400003,0.280198,0.358205,10,0.403255,0.238363,0.020263,1260878,9.3
progress,91,11722,25,0.285191,0.131429,0.399758,0.279881,0.000342,10,0.403255,0.238363,0.020263,1263610,9.3
progress,92,11822,100,0.190416,0.047363,0.397988,0.277914,0.292920,10,0.403255,0.238363,0.020263,1274636,9.3
progress,92,11872,50,0.710303,0.642315,0.399303,0.279449,1.000323,10,0.403255,0.238363,0.020263,1280145,9.3
progress,93,11961,89,0.225724,0.148229,0.398011,0.278472,1.000390,10,0.403255,0.238363,0.020263,1289952,9.3
progress,94,12061,100,0.166278,0.084951,0.396090,0.276868,0.916817,10,0.403255,0.238363,0.020263,1300986,9.3
