kind,game,roots,window_roots,avg_abs_error,avg_sq_error,total_avg_abs_error,total_avg_sq_error,last_abs_error,validation_samples,validation_avg_abs_error,validation_avg_sq_error,validation_last_abs_error,elapsed_ms,roots_per_sec,learn_rate
progress,27,3016,3,0.764404,0.635908,0.392865,0.264855,0.930455,10,0.396982,0.231013,0.022261,713782,4.2,0.040000
progress,28,3046,30,0.085462,0.009046,0.389838,0.262336,0.175122,10,0.396790,0.230802,0.022159,717012,4.2,0.040000
progress,28,3076,30,0.414836,0.274316,0.390082,0.262453,0.573005,10,0.396687,0.230661,0.022159,720123,4.3,0.040000
progress,28,3106,30,0.665231,0.555715,0.392739,0.265285,0.023956,10,0.396687,0.230661,0.022159,723229,4.3,0.040000
progress,28,3136,30,0.843074,0.792661,0.397047,0.270330,1.026098,10,0.396687,0.230661,0.022159,726350,4.3,0.040000
progress,28,3148,12,0.666970,0.636454,0.398076,0.271726,0.046228,10,0.397477,0.231406,0.022159,727477,4.3,0.040000
progress,29,3178,30,0.118529,0.019652,0.395437,0.269347,0.246732,10,0.397789,0.231755,0.022293,730810,4.3,0.040000
progress,29,3208,30,0.392372,0.249526,0.395409,0.269161,0.870338,10,0.397789,0.231756,0.022293,733917,4.4,0.040000
progress,29,3238,30,0.752006,0.620102,0.398712,0.272413,0.185110,10,0.397789,0.231756,0.022293,737015,4.4,0.040000
progress,29,3268,30,0.555462,0.456010,0.400151,0.274098,0.754560,10,0.397664,0.231637,0.022293,740116,4.4,0.040000
progress,29,3285,17,0.317764,0.204025,0.399725,0.273735,0.072576,10,0.399675,0.233585,0.022293,741895,4.4,0.040000
progress,30,3315,30,0.137124,0.024567,0.397349,0.271480,0.020712,10,0.399481,0.233374,0.022184,745297,4.4,0.040000
progress,30,3345,30,0.476094,0.349581,0.398055,0.272181,0.950577,10,0.399526,0.233405,0.022184,748384,4.5,0.040000
progress,30,3375,30,0.919293,0.886296,0.402688,0.277640,0.487381,10,0.399526,0.233405,0.022184,751500,4.5,0.040000
progress,30,3399,24,0.549718,0.468820,0.403726,0.278990,0.042344,10,0.399526,0.233405,0.022184,753767,4.5,0.040000
progress,31,3429,30,0.053803,0.004078,0.400665,0.276584,0.100893,10,0.399654,0.233545,0.022247,757126,4.5,0.040000
progress,31,3459,30,0.108962,0.019930,0.398135,0.274358,0.160715,10,0.399654,0.233545,0.022247,760221,4.5,0.040000
progress,31,3489,30,0.382784,0.214664,0.398003,0.273845,0.688802,10,0.399654,0.233545,0.022247,763322,4.6,0.040000
progress,31,3519,30,0.422838,0.309314,0.398215,0.274148,0.944866,10,0.399654,0.233545,0.022247,766420,4.6,0.040000
progress,31,3530,11,0.427450,0.320928,0.398306,0.274293,0.156740,10,0.399654,0.233545,0.022247,767554,4.6,0.040000
progress,32,3560,30,0.068380,0.008130,0.395525,0.272050,0.052951,10,0.400256,0.234215,0.022555,770848,4.6,0.040000
progress,32,3590,30,0.084211,0.018376,0.392924,0.269931,0.285163,10,0.400267,0.234230,0.022555,773954,4.6,0.040000
progress,32,3615,25,0.180232,0.079407,0.391453,0.268613,0.012488,10,0.400559,0.234520,0.022555,776542,4.7,0.040000
progress,33,3645,30,0.053805,0.004988,0.388674,0.266443,0.194157,10,0.400645,0.234576,0.022551,779852,4.7,0.040000
progress,33,3675,30,0.337293,0.118204,0.388255,0.265233,0.615236,10,0.400646,0.234577,0.022551,782961,4.7,0.040000
progress,33,3705,30,0.340139,0.179859,0.387865,0.264542,0.180584,10,0.400646,0.234577,0.022551,786093,4.7,0.040000
progress,33,3735,30,0.480774,0.317619,0.388611,0.264968,1.014253,10,0.391246,0.226112,0.022551,789221,4.7,0.040000
progress,33,3765,30,0.578805,0.510139,0.390127,0.266922,0.073534,10,0.396954,0.231042,0.022551,792212,4.8,0.040000
progress,34,3795,30,0.143360,0.027018,0.388176,0.265025,0.407884,10,0.396563,0.230609,0.022371,795580,4.8,0.040000
progress,34,3825,30,0.300362,0.100300,0.387487,0.263733,0.165505,10,0.396415,0.230504,0.022371,798676,4.8,0.040000
progress,34,3839,14,0.222233,0.069509,0.386885,0.263025,0.047878,10,0.396415,0.230504,0.022371,800128,4.8,0.040000
progress,35,3869,30,0.185679,0.037303,0.385324,0.261275,0.141575,10,0.398892,0.233302,0.023739,803415,4.8,0.040000
progress,35,3899,30,0.646681,0.495805,0.387335,0.263079,0.756744,10,0.399156,0.233426,0.023739,806536,4.8,0.040000
progress,35,3929,30,0.875591,0.799453,0.391064,0.267175,0.483115,10,0.399156,0.233426,0.023739,809636,4.9,0.040000
progress,35,3942,13,0.807822,0.716471,0.392438,0.268656,0.456954,10,0.399156,0.233426,0.023739,810977,4.9,0.040000
progress,36,3972,30,0.098756,0.014577,0.390220,0.266737,0.201942,10,0.398948,0.233191,0.023617,814351,4.9,0.040000
progress,36,4002,30,0.110189,0.019198,0.388121,0.264882,0.066180,10,0.398946,0.233188,0.023617,817476,4.9,0.040000
progress,36,4032,30,0.137423,0.029040,0.386255,0.263127,0.058821,10,0.402856,0.236941,0.023617,820604,4.9,0.040000
progress,36,4035,3,0.114365,0.013862,0.386053,0.262942,0.148885,10,0.402900,0.236985,0.023617,820919,4.9,0.040000
progress,37,4065,30,0.059682,0.004362,0.383644,0.261033,0.001941,10,0.402877,0.236962,0.023620,824185,4.9,0.040000
progress,37,4095,30,0.042149,0.002500,0.381143,0.259139,0.031399,10,0.402999,0.237049,0.023620,827311,4.9,0.040000
progress,37,4125,30,0.456428,0.237049,0.381690,0.258979,0.630914,10,0.403069,0.237145,0.023620,830428,5.0,0.040000
progress,37,4155,30,0.668015,0.447653,0.383758,0.260341,0.770608,10,0.403100,0.237187,0.023620,833535,5.0,0.040000
progress,37,4185,30,0.806780,0.802940,0.386790,0.264231,0.768886,10,0.403100,0.237187,0.023620,836636,5.0,0.040000
progress,37,4187,2,0.342859,0.225330,0.386769,0.264212,0.671154,10,0.403100,0.237187,0.023620,836847,5.0,0.040000
progress,38,4217,30,0.954942,0.913946,0.390811,0.268834,0.851661,10,0.402659,0.236874,0.023620,840090,5.0,0.040000
progress,38,4236,19,0.829825,0.726088,0.392780,0.270885,0.415574,10,0.402654,0.236867,0.023620,841855,5.0,0.040000
progress,39,4266,30,0.115483,0.031995,0.390830,0.269205,0.343693,10,0.402627,0.236833,0.023608,845248,5.0,0.040000
progress,39,4296,30,0.222573,0.072764,0.389655,0.267833,0.001106,10,0.402627,0.236833,0.023608,848352,5.1,0.040000
progress,39,4303,7,0.000749,0.000001,0.389022,0.267398,0.000907,10,0.402627,0.236833,0.023608,849085,5.1,0.040000
progress,40,4333,30,0.965300,0.933129,0.393012,0.272007,0.982646,10,0.400221,0.234762,0.023068,852328,5.1,0.040000
progress,40,4361,28,0.764584,0.713699,0.395398,0.274843,0.027314,10,0.400266,0.234823,0.023068,854501,5.1,0.040000
progress,41,4381,20,0.038012,0.002275,0.393767,0.273599,0.001453,10,0.400558,0.235154,0.023237,856852,5.1,0.040000
progress,42,4411,30,0.809322,0.656465,0.396593,0.276203,0.844070,10,0.399804,0.234325,0.022855,860245,5.1,0.040000
progress,42,4441,30,0.830246,0.721002,0.399522,0.279207,0.761515,10,0.399558,0.234176,0.022855,863354,5.1,0.040000
progress,42,4471,30,0.407765,0.303426,0.399578,0.279370,0.740802,10,0.399558,0.234176,0.022855,866451,5.2,0.040000
progress,42,4491,20,0.281418,0.171670,0.399051,0.278890,0.031169,10,0.399652,0.234269,0.022855,868512,5.2,0.040000
progress,43,4521,30,0.677943,0.460040,0.400902,0.280092,0.679588,10,0.398880,0.233461,0.022412,871895,5.2,0.040000
progress,43,4551,30,0.681308,0.500998,0.402750,0.281548,0.848146,10,0.398881,0.233462,0.022412,874989,5.2,0.040000
progress,43,4581,30,0.452083,0.378114,0.403073,0.282181,0.901517,10,0.398881,0.233462,0.022412,878098,5.2,0.040000
progress,43,4611,30,0.482784,0.419686,0.403592,0.283075,0.895880,10,0.398881,0.233462,0.022412,881217,5.2,0.040000
progress,43,4624,13,0.461465,0.352313,0.403755,0.283270,0.091765,10,0.398881,0.233462,0.022412,882574,5.2,0.040000
progress,44,4654,30,0.063090,0.013486,0.401559,0.281531,0.046596,10,0.398663,0.233233,0.022293,886140,5.3,0.040000
progress,44,4684,30,0.560374,0.334471,0.402576,0.281870,0.720368,10,0.398663,0.233233,0.022293,889255,5.3,0.040000
progress,44,4714,30,0.654128,0.453373,0.404177,0.282962,0.797740,10,0.398665,0.233236,0.022293,892344,5.3,0.040000
progress,44,4744,30,0.644305,0.500952,0.405695,0.284340,0.663832,10,0.398735,0.233306,0.022293,895449,5.3,0.040000
progress,44,4767,23,0.516361,0.412889,0.406229,0.284960,0.008852,10,0.398686,0.233257,0.022293,897718,5.3,0.040000
progress,45,4797,30,0.147703,0.029324,0.404613,0.283362,0.177706,10,0.398628,0.233194,0.022266,901051,5.3,0.040000
progress,45,4827,30,0.470705,0.243892,0.405023,0.283116,0.440627,10,0.399534,0.233810,0.022266,904137,5.3,0.040000
progress,45,4857,30,0.451562,0.240001,0.405311,0.282850,0.018204,10,0.399534,0.233810,0.022266,907247,5.4,0.040000
progress,45,4884,27,0.248644,0.106401,0.404445,0.281874,0.118427,10,0.399248,0.233524,0.022266,910016,5.4,0.040000
progress,46,4914,30,0.139575,0.023870,0.402828,0.280299,0.226461,10,0.398580,0.232817,0.021840,913306,5.4,0.040000
progress,46,4944,30,0.380759,0.253874,0.402694,0.280139,1.000343,10,0.398901,0.232990,0.021763,916427,5.4,0.040000
progress,46,4952,8,0.948640,0.904308,0.403576,0.281147,0.858367,10,0.398901,0.232990,0.021763,917159,5.4,0.040000
progress,47,4982,30,0.145424,0.024142,0.402021,0.279600,0.123236,10,0.398298,0.232370,0.021448,920554,5.4,0.040000
progress,47,5012,30,0.122204,0.022381,0.400346,0.278060,0.012257,10,0.398371,0.232471,0.021448,923648,5.4,0.040000
progress,47,5042,30,0.076074,0.011427,0.398417,0.276474,0.064074,10,0.398358,0.232459,0.021448,926754,5.4,0.040000
progress,47,5054,12,0.061935,0.005914,0.397618,0.275831,0.013955,10,0.398358,0.232459,0.021448,927980,5.4,0.040000
progress,48,5084,30,0.079749,0.008353,0.395742,0.274253,0.170685,10,0.398701,0.232817,0.021614,931408,5.5,0.040000
progress,48,5104,20,0.729864,0.568340,0.397052,0.275405,0.866329,10,0.398550,0.232647,0.021614,933172,5.5,0.040000
progress,49,5134,30,0.160966,0.041745,0.395672,0.274040,0.517774,10,0.398871,0.233023,0.021833,936545,5.5,0.040000
progress,49,5164,30,0.622710,0.404473,0.396991,0.274798,0.295615,10,0.398871,0.233023,0.021833,939649,5.5,0.040000
progress,49,5194,30,0.465252,0.333035,0.397385,0.275134,0.024936,10,0.398871,0.233023,0.021833,942771,5.5,0.040000
progress,49,5224,30,0.437925,0.298679,0.397618,0.275269,0.040740,10,0.398871,0.233023,0.021833,945871,5.5,0.040000
progress,49,5254,30,0.450565,0.366841,0.397920,0.275792,0.020944,10,0.398871,0.233023,0.021833,948861,5.5,0.040000
progress,49,5256,2,0.471932,0.389419,0.397948,0.275835,0.063644,10,0.398871,0.233023,0.021833,949066,5.5,0.040000
progress,50,5286,30,0.023940,0.000864,0.395826,0.274275,0.041032,10,0.398908,0.233048,0.021833,952450,5.5,0.040000
progress,50,5316,30,0.061662,0.005519,0.393940,0.272758,0.134442,10,0.398908,0.233049,0.021833,955549,5.6,0.040000
progress,50,5346,30,0.443198,0.321621,0.394216,0.273032,0.984924,10,0.399078,0.233219,0.021833,958644,5.6,0.040000
progress,50,5376,30,0.631435,0.541661,0.395540,0.274531,0.614388,10,0.398641,0.232784,0.021833,961759,5.6,0.040000
progress,50,5387,11,0.369800,0.261897,0.395488,0.274506,0.081317,10,0.398706,0.232848,0.021833,962791,5.6,0.040000
